SEESION 1,,Period,Group,Subject ID,Alternative Chosen,Role Played,Payoff,,,SESSION 2,,Period,Group,Subject ID,Alternative Chosen,Role Played,Payoff
,,1,1,31,1,2,105,,,,,1,1,3,1,3,80
,,1,1,19,1,1,105,,,,,1,1,5,2,1,46
,,1,1,17,1,2,144,,,,,1,1,6,2,2,90
,,1,1,10,1,2,105,,,,,1,1,12,1,1,46
,,1,1,11,1,2,105,,,,,1,1,13,2,3,80
,,1,1,24,1,2,105,,,,,1,1,15,2,1,21
,,1,1,13,1,1,105,,,,,1,1,20,1,1,46
,,1,1,26,1,1,105,,,,,1,1,21,2,2,95
,,1,1,22,2,2,105,,,,,1,2,0,2,3,80
,,1,1,29,1,2,105,,,,,1,2,7,1,2,90
,,1,1,12,1,3,80,,,,,1,2,9,2,2,90
,,1,1,21,1,2,105,,,,,1,2,10,1,3,80
,,1,2,0,1,2,105,,,,,1,2,16,1,1,21
,,1,2,30,1,1,105,,,,,1,2,17,2,2,90
,,1,2,8,1,3,80,,,,,1,2,19,2,2,95
,,1,2,27,1,3,80,,,,,1,2,23,2,1,21
,,1,2,4,1,1,105,,,,,1,3,1,2,1,46
,,1,2,33,1,3,80,,,,,1,3,2,2,2,90
,,1,2,9,1,2,105,,,,,1,3,4,2,3,80
,,1,2,25,1,1,105,,,,,1,3,8,2,3,80
,,1,2,34,1,2,105,,,,,1,3,11,2,2,90
,,1,2,1,1,1,105,,,,,1,3,14,2,1,46
,,1,2,7,1,2,105,,,,,1,3,18,2,3,80
,,1,2,35,1,3,80,,,,,1,3,22,2,2,90
,,1,3,32,1,2,144,,,,,2,1,3,2,3,80
,,1,3,6,2,3,80,,,,,2,1,5,1,3,80
,,1,3,14,2,1,105,,,,,2,1,6,1,2,170
,,1,3,23,1,3,80,,,,,2,1,12,1,1,250
,,1,3,15,1,2,144,,,,,2,1,13,1,1,250
,,1,3,16,1,2,105,,,,,2,1,15,1,3,80
,,1,3,18,1,1,105,,,,,2,1,20,1,3,80
,,1,3,2,1,3,80,,,,,2,1,21,1,3,80
,,1,3,28,1,3,80,,,,,2,2,0,1,2,248
,,1,3,20,2,1,105,,,,,2,2,7,1,1,250
,,1,3,5,1,2,105,,,,,2,2,9,1,2,170
,,1,3,3,1,3,80,,,,,2,2,10,1,1,250
,,2,1,31,1,3,80,,,,,2,2,16,2,2,170
,,2,1,19,2,3,80,,,,,2,2,17,1,2,248
,,2,1,17,2,2,74,,,,,2,2,19,1,3,80
,,2,1,10,1,3,80,,,,,2,2,23,2,2,170
,,2,1,11,2,1,53,,,,,2,3,1,1,1,250
,,2,1,24,1,3,80,,,,,2,3,2,1,1,250
,,2,1,13,1,1,53,,,,,2,3,4,1,1,250
,,2,1,26,1,3,80,,,,,2,3,8,1,2,170
,,2,1,22,1,3,80,,,,,2,3,11,1,1,250
,,2,1,29,1,3,80,,,,,2,3,14,1,2,170
,,2,1,12,2,3,80,,,,,2,3,18,1,3,80
,,2,1,21,2,2,78,,,,,2,3,22,1,1,250
,,2,2,0,1,3,80,,,,,3,1,3,2,1,82
,,2,2,30,1,3,80,,,,,3,1,5,1,1,52
,,2,2,8,2,1,53,,,,,3,1,6,1,1,52
,,2,2,27,1,1,53,,,,,3,1,12,2,2,220
,,2,2,4,1,3,80,,,,,3,1,13,2,2,220
,,2,2,33,1,3,80,,,,,3,1,15,2,3,80
,,2,2,9,2,1,53,,,,,3,1,20,2,1,52
,,2,2,25,2,2,74,,,,,3,1,21,2,1,82
,,2,2,34,1,3,80,,,,,3,2,0,1,3,80
,,2,2,1,1,2,74,,,,,3,2,7,2,3,80
,,2,2,7,1,3,80,,,,,3,2,9,2,2,220
,,2,2,35,1,2,74,,,,,3,2,10,1,1,52
,,2,3,32,1,1,53,,,,,3,2,16,2,3,80
,,2,3,6,1,3,80,,,,,3,2,17,2,3,80
,,2,3,14,1,3,80,,,,,3,2,19,2,3,80
,,2,3,23,2,3,80,,,,,3,2,23,1,2,220
,,2,3,15,2,3,80,,,,,3,3,1,2,2,220
,,2,3,16,1,1,53,,,,,3,3,2,2,2,220
,,2,3,18,1,3,80,,,,,3,3,4,2,1,52
,,2,3,2,2,1,53,,,,,3,3,8,1,2,150
,,2,3,28,1,3,80,,,,,3,3,11,2,1,52
,,2,3,20,1,2,74,,,,,3,3,14,2,3,80
,,2,3,5,2,2,74,,,,,3,3,18,1,2,150
,,2,3,3,1,3,80,,,,,3,3,22,2,3,80
,,3,1,31,2,1,21,,,,,4,1,3,2,3,80
,,3,1,19,1,1,6,,,,,4,1,5,2,2,180
,,3,1,17,1,1,6,,,,,4,1,6,1,3,80
,,3,1,10,2,1,6,,,,,4,1,12,2,1,92
,,3,1,11,1,1,6,,,,,4,1,13,1,1,92
,,3,1,24,2,1,21,,,,,4,1,15,2,1,92
,,3,1,13,1,3,80,,,,,4,1,20,2,2,110
,,3,1,26,2,1,6,,,,,4,1,21,1,1,122
,,3,1,22,2,3,80,,,,,4,2,0,1,1,122
