,client,present_bias,future_bias
0,0,1,1
1,1,1,0
2,2,1,0
3,3,1,0
4,4,1,1
5,5,1,0
6,6,1,0
7,7,0,0
8,8,1,0
9,9,1,0
10,10,1,0
11,11,1,0
12,12,1,0
13,13,1,0
14,14,1,0
15,15,1,0
16,16,1,0
17,17,0,1
18,18,1,0
19,19,0,1
20,20,0,1
21,21,1,0
22,22,1,0
23,23,1,0
24,24,1,0
25,25,1,1
26,26,1,0
27,27,0,1
28,28,1,0
29,29,1,0
30,30,1,0
31,31,1,1
32,32,1,0
33,33,1,0
34,34,1,0
35,35,1,0
36,36,1,0
37,37,1,0
38,38,1,0
39,39,0,1
40,40,1,0
41,41,1,0
42,42,1,0
43,43,0,1
44,44,1,0
45,45,1,1
46,46,0,1
47,47,1,0
48,48,1,0
49,49,1,0
50,50,0,1
51,51,1,0
52,52,1,0
53,53,1,0
54,54,1,0
55,55,1,0
56,56,1,0
57,57,0,1
58,58,1,0
59,59,1,0
